|keri|,|tertinggal|
|kesel|,|lelah|
|kesusu|,|tergesa-gesa|
|kesuwen|,|terlalu lama|
|ketero|,|kentara|
|kethek|,|kera|
|ketok|,|kelihatan|
|kewengen|,|kemalaman|
|kewengen|,|kemalaman|
|kewuhan|,|sangat segan|
|kijing|,|nisan|
|kinacek|,|istimewa|
|kiro|,|kira|
|klambi|,|baju|
|klbon|,|kemasukan|
|klebu|,|masuk|
|klenger|,|pingsan|
|kleru|,|keliru|
|kloso|,|tikar|
|klumpuk|,|kumpul|
|kobong|,|kebakar|
|kocomoto|,|kacamata|
|kodanan|,|kehujanan|
|koe|,|kau|
|kondho|,|berkata|
|kongkon|,|menyuruh|
|kono|,|sana|
|kono|,|situ|
|kowe|,|kamu|
|krasan|,|betah|
|kringet|,|keringat|
|krunggu|,|dengar|
|kudu|,|harus|
|kui|,|itu|
|kukuh|,|kokoh|
|kulak|,|belanja|
|kulon|,|barat|
|kuluk|,|mahkota|
|kumbah|,|cuci|
|kuru|,|kurus|
|kutho|,|kota|
|kuwasa|,|kuasa|
|kuwatir|,|khawatir|
|kuwi|,|itu|
|kwalik|,|kebalik|
|lair|,|lahir|
|lali|,|lupa|
|lambe|,|bibir|
|lan|,|dan|
|lanang|,|laki-laki|
|lawang|,|pintu|
|lawas|,|lama|
|lebu|,|dalam|
|lelara|,|penyakit|
|lemu|,|gemuk|
|lengen|,|lengan|
|lengo|,|minyak|
|leren|,|istirahat|
|linggih|,|duduk|
|lingguh|,|duduk|
|liwat|,|lewat|
|londo|,|belanda|
|londo|,|belanda|
|lor|,|utara|
|loro|,|sakit|
|loro|,|sakit|
|luh|,|air mata|
|lulang|,|kulit|
|lumrah|,|biasa|
|lungguh|,|duduk|
|lungguh|,|duduk|
|lungo|,|pergi|
|luput|,|keliru|
|luwih|,|lebih|
|luwih|,|lebih|
|maido|,|tidak percaya|
|maling|,|pencuri|
|mamah|,|mengunyah|
|mandeg|,|berhenti|
|mangan|,|makan|
|mangkat|,|pergi|
|mangkene|,|demikian|
|manuk|,|burung|
|manut|,|ikut|
|mari|,|sembuh|
|mayit|,|jenazah|
|melek|,|terjaga|
|melu|,|ikut|
|melu|,|ikut|
|melu|,|ikut|
|menehi|,|lagi|
|menehi|,|memberi|
|meneng|,|diam|
|mengko|,|nanti|
|menowo|,|jika |
|mentas|,|selesai|
|menyang|,|ke|
|mergo|,|karena|
|meteng|,|hamil|
|metu|,|keluar|
|mikir|,|memikirkan|
|minggat|,|melarikan diri|
|mlaku|,|jalan|
|mlaku|,|berjalan|
|moco|,|membaca|
|moco|,|baca|
|moro|,|datang|
|moto|,|mata|
|mowo|,|bara api|
|mudhun|,|turun|
|mudun|,|turun|
|mula|,|memang|
|mulang|,|mengajar|
|mulih|,|pulang|
|mulih|,|pulang|
|mum??t|,|pusing|
|mundak|,|tambah|
|mundhak|,|meningkat|
|mung|,|hanya|
|munggah|,|naik|
|munggah|,|naik|
|mungkur|,|belakang|
|mungsuh|,|musuh|
|muni|,|bersuara|
|muni|,"|bunyi, suara|"
|muring|,|marah|
|ndandani|,|membetulkan|
|ndeleh|,|taruh|
|ndelehke|,|meletakkan|
|ndelok|,|melihat|
|ndeso|,|desa|
|ndhas|,|kepala|
|ndokoke|,|meletakkan|
|nduweni|,|memiliki|
|negoro|,|negara|
|nemoni|,|pmenemui|
|nesu|,|marah|
|ngadeg|,|berdiri|
|ngadek|,|berdiri|
|ngadep|,|hadap|
|ngadep|,|menghadap|
|ngadep|,|menghadap|
|ngajeni|,|menghargai|
|ngajokne|,|memajukan|
|ngakoni|,|mengakui|
|ngaku|,|mengaku|
|ngalangi|,|menghalangi|
|ngalor|,|ke utara|
|ngambakne|,|meluaskan|
|ngambu|,|membau|
|ngambung|,|cium|
|ngambung|,|mencium|
|nganakne|,|mengandakan|
|nganggo|,|pakai|
|nganggo|,|memakai|
|ngapura|,|memaafkan|
|ngapuro|,|maaf|
|ngapusi|,|bohong|
|ngarani|,|menyebut|
|ngarep|,|depan|
|ngasor|,|mengalah|
|ngeboti|,|lebih|
|ngedol|,|menjual|
|ngedu|,|mengadu|
|ngei|,|memberi|
|ngekon|,|suruh|
|ngelak|,|haus|
|ngelingi|,|mengingat|
|ngelu|,|pusing|
|ngendeg|,|henti|
|ngendekne|,|menghentikan|
|ngendog|,|bertelur|
|ngenggo|,|memakai|
|ngenyang|,|menawar|
|ngepek|,|meminta|
|nggantos|,|mengganti|
|nggeguyu|,|menertawakan|
|nggenepi|,|melengkapi|
|nggoleki|,|mencari|
|nggowo|,|membawa|
|nggugah|,|membangunkan|
|nggunakake|,|menggunakan|
|ngguyu|,|tertawa|
|ngilang|,|hilang|
|ngingu|,|memelihara|
|ngising|,|berak|
|ngitung|,|menghitung|
|nglairne|,|melahirkan|
|nglarani|,|menyakiti|
|nglarani|,|disakiti|
|ngliwet|,|menanak nasi|
|ngliwet|,|menanak nasi|
|ngowo|,|bawa|
|ngrebut|,|merampas|
|ngroso|,|perasaan|
|ngrubah|,|merubah|
|ngrumati|,|melihara|
|njagokne|,|mencalonkan|
|njaluk|,|minta|
|njobo|,|di luar|
|njogo|,|menjaga|
|njogo|,|menjaga|
|nompo|,|memperoleh|
|nyambut gawe|,|bekerja|
|nyekel|,|memegang|
|nyengeni|,|memarahi|
|nyeritani|,|menceritakan|
|nyilih|,|meminjam|
|nyilih|,|pinjam|
|nyonggo|,|ditopang|
|nyunduki|,|menyunting|
|obah|,|bergerak|
|obong|,|bakar|
|ojo|,|jangan|
|oleh|,|mendapatkan|
|omah|,|rumah|
|omba|,|lebar|
|ombe|,|minum|
|ombo|,|luas|
|omong|,|bicara|
|ono|,|ada|
|opah|,|upah|
|ora|,|tidak|
|owah|,|berubah|
|padang|,|terang|
|padu|,|bertengkar|
|pajeng|,|pajak|
|pangan|,|makanan|
|panggon|,|tempat|
|panggon|,|tempat|
|papat|,|empat|
|pari|,|padi|
|payu|,|laku|
|pek|,|ambil|
|pekarangan|,|halaman|
|pendok|,|lapisan emas pada keris|
|pener|,|tepat|
|pengilon|,|cermin|
|pengilon|,|dikalikan|
|pentil|,|putting susu|
|perkoro|,|perkara|
|petan|,|mencari kutu rambut|
|piandel|,|kepercayaan|
|pikul|,|dipikul|
|piranti|,|alat|
|piro|,|berapa|
|pisan|,|sekali|
|pitik|,|ayam|
|pitoyo|,|percaya|
|pituduh|,|nasihat|
|podo|,|sama|
|poso|,|puasa|
|prau|,|perahu|
|prayoga|,|layak|
|prehaten |,|prihatin|
|preng|,|bambu|
|priyayi|,|bangsawan|
|pupu|,|paha|
|pupur|,|bedak|
|puser|,|pusar|
|putu|,|cucu|
|rabi|,|nikah|
|rahayu|,|selamat|
|rai|,|wajah|
|raup|,|cici muka|
|rego|,|harga|
|rekoso|,"|sulit, parah|"
|rembug|,|runding|
|rembulan|,|bulan|
|rene|,|ke sini|
|rewang|,|pembantu|
|riyak|,|dahak|
|rodo|,|agak|
|rono|,|ke sana|
|roto|,|rata|
|rupo|,|rupa|
|saiki|,|sekarang|
