|dlu|,|dulu|
|dmn|,|dimana|
|dngn|,|dengan|
|doang|,|saja|
|dodol|,|bodoh|
|doi|,|dia|
|doku|,|uang|
|donjuan|,|playboy|
|dongs|,|dong|
|donlot|,|unduh|
|dpt|,|dapat|
|dr|,|dari|
|dri|,|dari|
|drmana|,|darimana|
|drmn|,|darimana|
|drpd|,|dari pada|
|drtd|,|dari tadi|
|dstu|,|disitu|
|dtg|,|datang|
|duh|,|aduh|
|duit|,|uang|
|duren|,|durian|
|dy|,|dia|
|ed|,|edisi|
|edan|,|gila|
|eike|,|aku|
|eke|,|aku|
|elo|,|kamu|
|elu|,|kamu|
|emang|,|memang|
|emangnya|,|memangnya|
|emg|,|memang|
|emng|,|memang|
|endak|,|tidak|
|engga|,|tidak|
|enggak|,|tidak|
|entar|,|nanti|
|envy|,|iri|
|etc|,|etcetera|
|ex|,|mantan|
|ext|,|extension|
|fax|,|facsimile|
|fb|,|facebook|
|folbek|,|followback|
|fwd|,|diteruskan|
|fyi|,|informasi|
|ga|,|tidak|
|gaada|,|tidak|
|gabisa|,|tidak|
|gag|,|tidak|
|gahar|,|sangar|
|gaje|,|tidak|
|gak|,|tidak|
|gakpapa|,|tidak apa-apa|
|gamau|,|tidak|
|gan|,|juragan|
|gapapa|,|tidakapa-apa|
|gaptek|,|gagap teknologi|
|gatau|,|tidak tahu|
|gatek|,|gagap teknologi|
|gatot|,|gagal|
|gawe|,|kerja|
|gax|,|tidak|
|gbs|,|tidak bisa|
|gda|,|tidak ada uang|
|gebetan|,|orang yang disuka|
|geer|,|gede rasa|
|geje|,|tidak jelas|
|gelo|,|gila|
|gepeng|,|gelandangan dan pengemis|
|ghiey|,|lagi|
|ghiy|,|lagi|
|gi|,|lagi|
|gile|,|gila|
|giman|,|gigi mancung|
|gimana|,|bagaimana|
|gini|,|begini|
|gino|,|gigi nongol|
|gitchu|,|gitu|
|githu|,|gitu|
|gitu|,|begitu|
|gj|,|tidak jelas|
|gk|,|tidak|
|gmana|,|bagaimana|
|gmn|,|bagaimana|
|gn|,|begini|
|goblog|,|goblok|
|goblok|,|bodoh|
|good|,|bagus|
|gokil|,|gila|
|golput|,|golongan putih|
|gombal|,|suka merayu|
|gowes|,|mengayuh sepeda|
|gpl|,|tidak pakai lama|
|gpny|,|tidak punya|
|gpp|,|tidak apa-apa|
|gr|,|gede rasa|
|gretong|,|gratis|
|gretongan|,|gratisan|
|gt|,|begitu|
|gtau|,|tidak tahu|
|gtw|,|tidak tahu|
|gua|,|saya|
|gue|,|saya|
|guoblok|,|goblok|
|guys|,|teman-teman|
|gw|,|saya|
|gws|,|cepat sembuh|
|ha|,|tertawa|
|haghaghag|,|tertawa|
|haha|,|tertawa|
|hakhak|,|tertawa|
|hallow|,|halo|
|handak|,|bahan peledak|
|hankam|,|pertahanan dan keamanan|
|hansip|,|pertahanan sipil|
|hehe|,|he|
|hellow|,|halo|
|helo|,|halo|
|helow|,|halo|
|hey|,|hai|
|hi|,|hai|
|hlm|,|halaman|
|hlng|,|hilang|
|hny|,|hanya|
|hnya|,|hanya|
|hoax|,|isubohong|
|houm|,|rumah|
|hr|,|hari|
|hrs|,|harus|
|hrus|,|harus|
|hubad|,|hubungan angkatan darat|
|hubdar|,|perhubungan darat|
|hubla|,|perhubungan laut|
|huff|,|mengeluh|
|huft|,|mengeluh|
