user,text,latitude,longitude
Tita_Ferina,Malu setengah mampus? (with ? at @telap12) ? https://t.co/YX55E7G3K5,-7.81282,110.38674
LauraDP_,11-12 Ling2? (at @bowllingid) ? https://t.co/eVIuJbV2j0,-7.76388,110.39349
yogi_prakoso,"I'm at DF Fitness and Aerobic in Yogyakarta, Indonesia https://t.co/4dQQSkhHcw",-7.77829302,110.39278428
ramaxna,#instasport #insta #instago #instagood #instaphoto #digitalprint #jersey by @AwangNingali @? https://t.co/Xfyvx2Thpj,-7.80138889,110.36444444
SyafiraMiftasya,hello? (at Yogyakarta) ? https://t.co/DYZ0jyLeIp,-7.7835,110.39097
NoviaMndgh,Sampai subuh? (with arifah and maria at @jogjastudent) ? https://t.co/dAYLOv2tZ1,-7.80991,110.38134
rheerhiiyyoo1,Untung pas lg ada duit ? Pdhl di panel orderan msh 1 minggu lg delivernya... ?? (at Purwomartani kalasan) [pic] ? https://t.co/U8t3LfWu5p,-7.74342,110.44894
little_joe72,Hamdallah #UntungKeburu ? (at Garuda Indonesia Executive Lounge) ? https://t.co/XKGi2xg4iR,-7.78594,110.43784
kopi_gemati,Mitra Kopi #mitrakopi #kopi #bantul #jogja https://t.co/EWIBPu01Kn,-7.7586898,110.3947016
yosigravica,gath and training with Seagate (with danang at @harperjogja) [pic] ? https://t.co/PU5Vg0kPWW,-7.78494,110.36705
AffifahDewi,Red velvet ??? (with Qurrotun at Maxx Coffee Lippo Plaza) ? https://t.co/BmqcWChuAf,-7.78368,110.39069
jessicaanovi,?? (with Enjang at @waroengsteak) ? https://t.co/pn213A4KIf,-7.80967,110.37729
AmyNoptaryy,Selamat ya mas sidangnya lancar trus sekarang udah punya gelar baru. Ciyee udah jadi Aris Arpian? https://t.co/D044qYpcLb,-7.8019018,110.3847831
fitrohmw,Olahraga sore (at @jogjastudent) ? https://t.co/dpPZcUbmZu,-7.78314,110.39874
satrianggaraa,Mangkat peteng bali peteng :( (at FE Universitas Islam Indonesia) [pic] ? https://t.co/6XQ9uIMytV,-7.76028,110.41125
nieken_ismadi,Lanjutan nya #choipan ? this is it #yamiesingkawang jumbo fully? https://t.co/lSx1FJ4gEM,-7.81404,110.36755
WahyuDwiR,?? (at IL MONDO PIZZA) ? https://t.co/RtoXSWY7fo,-7.77864,110.39064
elmy_fatikha,At @sbuxindonesia ? https://t.co/cbmmlcsln9,-7.78266,110.37896
cikfarah90,"Our last day breakfast today b4 going back to Malaysia..
Jogja's? https://t.co/VR2UnNBBb1",-7.8015499,110.3723068
Carolina8491,"Bubble Trouble (at samirono, yogyakarta) ? https://t.co/DqnNdWJ61C",-7.77741,110.38171
elfiramj,Da kita mah apa atuh ??? @ Pizzalicious Yogyakarta https://t.co/gc7F0GN8w1,-7.80157,110.3723
MrCakraization,?Batik @ TamanSari Kraton Yogyakarta https://t.co/62ZP73OhRL,-7.7909092,110.36042722
AffifahDewi,Cari barang keperluan buat ke luar kota ribet bat yaaak aku ini -_- (w/ Qurrotun at Hypermart Lippo Plaza Jogja) ? https://t.co/7hytZHC62m,-7.78368,110.39069
kadhungprayoga,Mengulang jaman S1 ya guys ? (with Efi and bagussudrajad at Kheray Indah Chinesse Food) ? https://t.co/QkceF0ZK8I,-7.76781,110.40025
Wahyu_Hooligan,Terlalu gampang diapusi jebul aku ki ? ? ? (at Minimarket Panuntun) ? https://t.co/fZIGAc0zot,-7.76085,110.3657
angga_192,At Masjid Sirojuddin ? https://t.co/vPn6kZcrd6,-7.75889,110.41352
Rizty_VRossi46,"Focus on me, sorry ?? @ Jl. Malioboro https://t.co/Mu8hBojiiB",-7.79371167,110.36590667
Liesda12,"Go go work out again again.. 

#jogja 
#yogyakarta 
#20fitjogja 
#20fit
#gym
#gymjogja? https://t.co/ANFDXFCQ9o",-7.78089431,110.37605164
ghilang_fz,With Risanghandi at dr.Vapor - Vapor Store (Official) ? https://t.co/P6bXtMDvpi,-7.77357,110.40959
diana_utamii,"Yeay kesini lagi?? (with Dian, Meliawati, and 4 others at Yogyakarta) ? https://t.co/HkltCkzwNn",-7.78337,110.41392
galih_gyw,lamaak?? (with argha at @indomaretpoint) ? https://t.co/BTsa0pCd6a,-7.77738,110.38432
DanangSigitN,??? (at Yellow Star Ambarrukmo Hotel) ? https://t.co/znSCUkMK4e,-7.78342,110.39749
Wilmaasw,Warung (at @lippoplazajogja) ? https://t.co/QRMmjtYGNE,-7.76613,110.38645
kenanga_sukma,At Jolie Wirobrajan ? https://t.co/HZkFmNw4A3,-7.80439,110.35111
CoffeeWithNani,Home made banana and chocolate cookies. They are delicious but man the kitchen looks like a war? https://t.co/frHtsxVwUj,-7.80138889,110.36444444
hendikris,At @umyogya ? https://t.co/rJ8HmuhHr8,-7.81445,110.32391
linnapuspasari,saking kangennya sama nasi goreng inii...blm buka pun ditungguin...karna klo belinya habis? https://t.co/nc6Tv0LrQI,-7.775714,110.391882
guardianous,"Oh you're so sweetly gorgeous, I'd get diabetes just by looking at you.
.
.
.
.
.
.
Too bad I? https://t.co/7vI4q7QuAS",-7.78139521,110.40882288
DANANsaja,"Alhamdulillah.... 

#petaniMudaBerdaya 
#petaniMudaMuhammadiyah 
#pengusahaMudaMuhammadiyah @ PP? https://t.co/givekHyVs4",-7.80118929,110.3581668
anindyas20,HOTEL GRAND ASTON,-7.7817386,110.3831331
13basudara,oOokaaay~ (with Devalana at L'OROLOGY COFFEE) [pic] ? https://t.co/zOMxVXwYzO,-7.77093,110.39004
nindaaprilia,At @ugmyogyakarta ? https://t.co/qN8eVVKvj7,-7.76943,110.37822
riskanatt,Dipaksa makan mie ?? (with Ira at Mie Ayam Pak Waldi) ? https://t.co/M55ERyc96w,-7.76878,110.40543
Hdyanarv,Pembodohan (with Darmaita at Shihlin Taiwan Street Snacks) ? https://t.co/pEty3inDCs,-7.75998,110.39881
nurmaravianaaa,gruduk Ludira? (at RS Ludira Husada Tama) ? https://t.co/B45dqDnViC,-7.76753,110.35362
veveina,??? (with Daegal at RS TNI-AU dr. Suhardi Hardjolukito) ? https://t.co/RtT4qiZhsr,-7.7742,110.4074
BoyNathanael,"Mencegah lebih baik daripada mengobati :"" (at @ugmyogyakarta) ? https://t.co/IL4K4ngmx5",-7.7727,110.37509
capieca,"diet itu kalo lagi sama calon swami, kalo sendiri mah makan aja? https://t.co/oETnmw85yN",-7.815355,110.373191
el_zamie10,"Ngalap Berkah Maha Guru Al-Qur'an Indonesia Mbah Moenawwir, Krapyak? (at Pondok Pesantren Al-Munawir) [pic] ? https://t.co/qVFPVqFnhM",-7.82594,110.3647
RlLarasati,"Jika aku menyakiti orang lain, berikanlah aku kekuatan untuk meminta? https://t.co/XkbdvVQc0M",-7.80138889,110.36444444
Esa_BS,Jaga loket kehadiran? (at Taman Budaya Yogyakarta) ? https://t.co/1cP5GPbYMh,-7.79995,110.3683
Si__Black,"Kejadian 1:3 (TB)  Berfirmanlah Allah: ""Jadilah terang."" Lalu terang? https://t.co/EZRLdjkxAs",-7.784195,110.41028334
MuhammadRidho65,"Selamat datang ke Dunia ini Gavin Abraham Al-Arkhan,? (w/ Navi, Fitrianto, &amp; 8 others at @amc_jogja) [pic] ? https://t.co/cV7hwoDr3G",-7.79965,110.35186
themoonwalking,"Makan siang bersama setelah pelatihan plus endorse zaf_thaitea yang nyegerin banged,,,

Thx Tim? https://t.co/WhcT40sgT6",-7.77760485,110.39412893
okynugraha1,asique ? (with anggi and Faqih at Jl. Malioboro) [pic] ? https://t.co/JAucfFkoTi,-7.79339,110.36619
ipunghadii,Disini lagi ??? (at Waroeng SS) ? https://t.co/8Ozpzj3HS4,-7.81123,110.39362
Entuuunnisaa_,Kali2 ikan bakar ??? (at Bu Mondro - Spesial Ikan Bakar/Goreng) ? https://t.co/MdBAH5TCDJ,-7.76444,110.37925
desrapurply,Gotzeeeeeee (2 years ago) (at Perumahan Pelem Sewu Baru Bantul) [pic] ? https://t.co/UmELpWovxt,-7.81201,110.40299
nellacicillia,Thankyou keringetnya cik ???? (with Aivi at Studio Aivi) ? https://t.co/4upD2snYcR,-7.842,110.33194
naninprmst,O'&lt;hauss&gt;. (with Selly? at @circlekindo) ? https://t.co/H0CttBtilG,-7.78314,110.37235
Ryan_Dewata,Sore lagi (at @jogjastudent) [pic] ? https://t.co/wBJBuNixme,-7.80694,110.35713
devitarisqi,Nahloh wkwk (with Annafi at @naavagreen) ? https://t.co/buXGdTkHPw,-7.80216,110.3958
DANANsaja,"Alhamdulillah, rezeki #AnakSholeh ??
Teko seger,  Metu mBlenger  ?

#kulinerDuren? https://t.co/GB4sI9CZLn",-7.801425,110.35819
aldioabrian,"Saya kira, bertukar wilayah hidup dengan bapak adalah hal yang mengasyikkan sekaligus? https://t.co/lXXU7monYM",-7.80138889,110.36444444
GuyonAngkring,"Selamat sore, dan selamat berbahagia... @ Toko BeHa n Bangunan https://t.co/fqVfrTd7xk",-7.76743,110.39995
adetruna,Lagi belajar #nglowong di sanggar apa markas ya? KALPIKA #mediabootcampbrother #brother? https://t.co/cM8gGZYWwl,-7.7616787,110.3944918
gilbertagaluh14,jjs?? (with theresia at JustJuice) ? https://t.co/2HPh1A0IQi,-7.8113,110.36892
alvitacius12,? Dewasa memang satu proses pertemuan (kadang pahit) dengan diri? https://t.co/lhxF7ou3VL,-7.7736312,110.3882383
arum_erliansyah,?? (with deswitanatli at @hartonomall_yk) ? https://t.co/U4FWHJ61Ef,-7.7598,110.39907
